video,annotation,translation
000/P0_S000_00.mp4,Здравствуйте,Здравствуйте
000/P0_S000_01.mp4,Здравствуйте,Здравствуйте
000/P0_S000_02.mp4,Здравствуйте,Здравствуйте
000/P0_S000_03.mp4,Здравствуйте,Здравствуйте
000/P0_S000_04.mp4,Здравствуйте,Здравствуйте
001/P0_S001_00.mp4,Привет,Привет
001/P0_S001_01.mp4,Привет,Привет
001/P0_S001_02.mp4,Привет,Привет
001/P0_S001_03.mp4,Привет,Привет
001/P0_S001_04.mp4,Привет,Привет
002/P0_S002_00.mp4,Как ваши дела,Как ваши дела
002/P0_S002_01.mp4,Как ваши дела,Как ваши дела
002/P0_S002_02.mp4,Как ваши дела,Как ваши дела
002/P0_S002_03.mp4,Как ваши дела,Как ваши дела
002/P0_S002_04.mp4,Как ваши дела,Как ваши дела
003/P0_S003_00.mp4,Как твоя работа,Как твоя работа
003/P0_S003_01.mp4,Как твоя работа,Как твоя работа
003/P0_S003_02.mp4,Как твоя работа,Как твоя работа
003/P0_S003_03.mp4,Как твоя работа,Как твоя работа
003/P0_S003_04.mp4,Как твоя работа,Как твоя работа
004/P0_S004_00.mp4,У меня все отлично,У меня все отлично
004/P0_S004_01.mp4,У меня все отлично,У меня все отлично
004/P0_S004_02.mp4,У меня все отлично,У меня все отлично
004/P0_S004_03.mp4,У меня все отлично,У меня все отлично
004/P0_S004_04.mp4,У меня все отлично,У меня все отлично
005/P0_S005_00.mp4,У меня все хорошо,У меня все хорошо
005/P0_S005_01.mp4,У меня все хорошо,У меня все хорошо
005/P0_S005_02.mp4,У меня все хорошо,У меня все хорошо
005/P0_S005_03.mp4,У меня все хорошо,У меня все хорошо
005/P0_S005_04.mp4,У меня все хорошо,У меня все хорошо
006/P0_S006_00.mp4,У меня все нормально,У меня все нормально
006/P0_S006_01.mp4,У меня все нормально,У меня все нормально
006/P0_S006_02.mp4,У меня все нормально,У меня все нормально
006/P0_S006_03.mp4,У меня все нормально,У меня все нормально
